ppd_id,PlanName,fy,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,UAALAmortPeriod_GASB,BlendedDiscountRate,ActAssets_GASB,MktAssets_Smooth,MktAssets_net,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,payroll,RequiredContribution,PercentReqContPaid,InvestmentReturn_1yr
16,Connecticut SERS,2007,0,0,24,,9584970,,10043391,17888065,1,8303095,3310351,663926,1,0
16,Connecticut SERS,2008,0,0,23,,9990247,,9331897,19243373,1,9253126,3497445,716944,1,0
16,Connecticut SERS,2009,,0,,,8787160,,7322634,20148785,0,11361625,3396556,753698,1,0
16,Connecticut SERS,2010,0,0,21,,9349605,,7791337,21054197,0,11704592,3295666,897428,1,0
16,Connecticut SERS,2011,0,0,20,,10122765,,8985022,21126725,0,11003960,3210666,944077,1,0
16,Connecticut SERS,2012,0,0,19,,9744986,8468479,8468641,23018752,0,13273766,3354682,926372,1,0
16,Connecticut SERS,2013,0,0,18,,9784500,9182443,9182619,23768191,0,13983691,3139010,1059652,1,0
16,Connecticut SERS,2014,0,0,17,0,10584795,10472567,10472810,25505610,0,14920815,3487577,1268935,1,0
16,Connecticut SERS,2015,0,0,16,0,11375781,10668380,10668655,26255513,0,14879732,3592204,1379189,1,0
16,Connecticut SERS,2016,0,0,25,0,11922966,10636703,10653792,33616716,0,21693750,3720751,1514467,1,0
17,Connecticut Teachers,2001,,,,,,,11207086,,,,,252548,1,0
17,Connecticut Teachers,2002,0,0,29,,10387300,,10103419,13679900,1,3292600,2698300,210701,1,0
17,Connecticut Teachers,2003,,,,,10117000,,9852157,14375200,1,4258200,2814550,221236,1,0
